Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
3189,12/16/2014 12:48,12/16/2014 13:07,United States,Hillsboro,MO,63050,St. Louis,Missouri,4,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,All of the above.,,5,3,3,5,5,5,5,4,3,5,5,3,5,5,3,5,It is important to work together as a team. If we work together we get more done. ,When you are the leader it is hard you can't make a mistake.,Have fun and work fast.Also pick your job carefully.,You aways have to keep track of it and dont lose any!,72
3190,12/16/2014 12:55,12/16/2014 14:37,United States,Hillsboro,MO,63050,St.Louis,Missouri,4,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Demonstrate why your company and its products are special.,Decide how the product will look.,All of the above.,,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,I have learned that teamwork is important because you can get things done faster and easier.,I have learned that leadership takes part in a business because if you do something and you didn't mean to and people ask who did this the business could get hurt by getting money taken away or being shut down.,Advice I would give to a new student entering Build A Business is make sure you have everything in your ledger caught up and make sure everybody has the same answer or else it messes up everything.,I have learned that if you don't manage your money it could mess up things later on worksheets or on your ledger.,45
3192,12/16/2014 12:57,12/16/2014 14:23,United States,Hillsboro,MO,63050,St.louis,Missouri,4,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,5,5,4,5,5,5,5,4,4,4,5,4,That if we work in a team we can get things done faster.,"That leadership is special,and it shows the whole team the way to go.",Never give up and do a good role in your job.,Don't overspend it.,90
3193,12/16/2014 12:58,12/16/2014 14:27,United States,Hillsboro,MO,63050,st. Louis,Missouri,4,,Male,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,"I learned that if we work together, we can accomplish more in a small amount of timing",I learned that good leadership helps a company go far,You should work together and always try to come to a compromise,"I learned that the more money you have, it is harder to manage it, but when you work together, you can figure out how to manage your revenue easier.",81
3194,12/16/2014 12:59,12/16/2014 14:27,United States,Hillsboro,MO,63050,st.Louis,Missouri,4,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Cash on hand.,Help increase sales of your product.,Decide how the product will look.,All of the above.,,4,4,4,5,4,4,5,4,4,3,5,5,4,4,5,5,trust you're team mates ,make smart choices,know a lot of math,use it wisely ,54
3195,12/16/2014 13:21,12/16/2014 14:34,United States,Hillsboro,MO,63050,St. Louis,Missouri,4,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Decision-making power for product design.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,3,4,5,4,4,4,4,4,5,4,3,3,4,4,5,I have learened that teamwork is extreamly important because you need to know how to work as a team for life and you need to have good teamwork to get a job the involves working with other people which is almost every job.,I learned that you need to have good leadership skills in case something is falling behind or your team doesn't understand what they are doing.,I would tell them to be careful about how much money you use to buy the string and other things. I would also tell them to work your hardest and learn as much as they can because it will help you in the real world.,I have learned that managing money is something that needs to happen because you could lose money and have to spend more money on getting your ledgers caught up.,90
3196,12/16/2014 12:55,12/16/2014 14:27,United States,Hillsboro,MO,63050,st.Louis,Missouri,4,,Male,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,2,4,5,4,4,5,4,4,5,5,4,3,4,5,3,I learned that working with people and haveing teamwork gets you more money and time to work with team.,I learned the leadership takes part in a business  because with out a leader the company will fight over ideas and begin chaos. ,To try to work with your teammates and if they don't like you idea don't hate their to. Also when you are making your product to spend time on it and that it is not a rush to finish.,I learned that once you spend money you can't get it back also you should think about the things you want and don't spend money on everything you see.,63
3197,12/16/2014 12:57,12/16/2014 14:28,United States,Hillsboro,MO,63050,St.Louis,Missouri,4,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,3,5,5,4,4,3,2,4,3,4,2,4,3,3,i learned that every bit teamwork helps when working with other classmates.,i learned that when ou are leading something and making a decision you have to include more than one team member.,always be persistent and work together with your teammates.,i learned that you always have to keep track of how much money you have.,100
3198,12/16/2014 13:00,12/16/2014 14:28,United States,Hillsboro,MO,63050,St.Louis,Missouri,4,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Decision-making power for product design.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,The quality of the product.,,5,4,4,5,4,5,3,4,3,5,5,4,4,5,5,5,It is easier to do something with others then alone.,Leadership is important or else some people can get lost in there work.,Make sure you are prepared for the challenges of making a busness.,You have to put every thing in your ledger correctly.,63
3199,12/16/2014 14:14,12/16/2014 14:30,United States,Hillsboro,MO,63050,St. Louis,Missouri,4,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$4 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Profit.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,How popular the item/style might be.,,3,2,4,4,3,2,2,2,1,4,5,4,2,2,1,5,teamwork can get things done quicker,leadership is important because it is the main thing about the whole company,"don't work ahead, do your best, and cooperate",that you should always write it down in your book,54
3200,12/16/2014 12:57,12/16/2014 14:27,United States,Hillsboro,MO,63050,St. Louis,Missouri,4,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Decide how the product will look.,All of the above.,,4,2,4,4,3,4,5,4,4,3,3,3,4,4,3,3,I learned that  you will be better off together.,"I learned that if you don't do your part, everything goes wrong.  ","If you do nothing, you will fail. If you do something great, you will win everything. ",I learned that you need to get the correct amount or you will pay even more.,81
3201,12/16/2014 14:14,12/16/2014 14:25,United States,Hillsboro,MO,63050,St.Louis,Missouri,4,,Male,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Revenue.,All of the above.,Decide how the product will look.,All of the above.,,5,5,3,5,3,4,5,5,3,5,4,3,4,5,5,5,I have learned how a buisness or store is normaly run.,Leadership is very importent to sometimes help us get along.,I think you will really lie bizworld when you get to it because it's just so mush fun.,Math is the MOST IMPORTANT thing when doing things with money like counting money.,45
3202,12/17/2014 9:34,12/17/2014 9:40,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,4,5,5,4,5,4,3,4,4,4,4,5,4,5,That you will get more work done as a team.,That everyone should have a good leader that cares about them.,Be caring and listen to everyone.,You need to keep a leger.,90
3203,12/17/2014 9:34,12/17/2014 9:44,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,4,4,5,4,5,4,4,5,5,4,5,5,4,4,That it is necessary for everyone to get along and contribute ,That it is sometimes harder than it looks to take charge and lead.,Don't take a bunch of loans and waste all your money on stuff.,That it is harder than it seems.,100
3205,12/17/2014 9:34,12/17/2014 9:41,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Black/African-American,It didn't sell too many shares of stock to the venture capitalists,Give the bank shares of stock.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,1,4,3,4,4,5,4,5,5,4,4,4,4,5,3,"Teamwork is always needed and to run a business, you need to be able to work ina team and get along with the said team so your company wont fail",You have to take charge as a leader and make sure that the work gets done and nobody slacks off,"ALways work together, colborate with your team, be creative, and be ready to lead.",I learned that money is very important (well i already knew that) and you have to manage it carefully so that you wont go into debt and possibly lose your company.,81
3206,12/17/2014 9:34,12/17/2014 9:45,United States,Little Rock,AR,72201,little rock,Arkansas,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,4,3,3,4,4,3,4,3,4,3,3,2,3,5,that not everyone agrees,not alot because i was never the leader,it will be tough but keep trying,if you spend to much you cant get it back,90
3207,12/17/2014 9:35,12/17/2014 9:44,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Decide how the product will look.,All of the above.,,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,That there are several conflicts but you just have to talk to work them out.,Some people won't work so you have to step in and be a leader and get the work done.,If you can chose your team chose wisely and make sure you those people's weaknesses and strengths. ,That you have to keep an organized ledger and you have to count the money you have and to have a responsible person in charge.,81
3208,12/17/2014 9:35,12/17/2014 9:39,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,4,4,5,4,3,4,5,5,4,5,5,4,5,It takes everyone doing their part to get everything done,A good leader is just as important as good followers,Dont spend money that you dont have to,It takes time and practice,100
3209,12/17/2014 9:34,12/17/2014 9:49,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,4,5,4,5,5,4,4,5,5,4,5,4,5,4,That it is always better to listen than to speak above others.,That leading is not controlling others.,Spend  money wisely and make sure not to become bankrupt. And always have enough stock and always listen to your team.,Make sure you don't spend more than you can earn.,90
3211,12/17/2014 9:35,12/17/2014 9:54,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Promote the product to your customers.,The quality of the product.,,4,4,4,5,5,4,3,5,4,5,5,4,4,4,4,5,I've learned that in order to be successful everyone in the group has to do some type of work.,Leadership plays a big role in life because others are reflecting off the leaders behavior.,Use your imagination and stay focus.  ,"Managing money is very important especially for a business, because you have to know how much you owe or if you owe in order to keep the business going. ",63
3212,12/17/2014 9:35,12/17/2014 9:54,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,I learned that if you work together you will get more done. Also I learned that in order to be a good company everyone has to know what is going on and what and what not to do.,I learned that in order to maintain a good company you have to take charge sometimes. Some days your company is going to be crazy and out of control that is when you need to take control.,You have to be on the same page with your partner at all time because if you don't it will not be great. Also always put your 100% in the company.,I learned that you need to always record your payments  because if you don't when it is time to pay rent and you don't have enough money and everything will be ruined and you might go bankrupt.,90
3213,12/17/2014 9:35,12/17/2014 9:47,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,4,4,5,4,5,5,4,5,4,5,3,5,I learned whats its like to be a leader. I also learned to respect others  ,I learned that being a leader takes courage.  The whole team relies on what the leader thinks is right and wrong,"Communicate any thoughts to team, respect their decisions, participate as much as you can.",I learned phrases like equity and revenue. I  also learned how to prevent bankruptcy. ,100
3214,12/17/2014 9:35,12/17/2014 9:50,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Black/African-American,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,3,4,4,3,4,4,3,5,5,4,3,4,4,3,4,"I goes both ways when working in a team. Nobody gets special treatment, and nobody is put down. The point of team work is to work in a team equally.","The leader will not always be your friend or someone you want to work with, but you have no other option than to work with them. Listen to their ideas and let them lead.","Not to argue, make sure your product is an ideal image for not just yourself (make sure customers will want to buy your product), be nice to customers, listen to commands.","It can get VERY confusing, so make sure that the company ledger or other records are always correct so you know how much you're making, if you're losing money, what your expenses are, etc. ",72
3215,12/17/2014 9:35,12/17/2014 9:49,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,5,That everybody in the group has the same 100% as others so you cant give someone a project that is to hard or goes above their 100%,That you always have to stay strong cause if you decide even one time to stop working it just blows up in your face ,Don't procrastinate or give your 50% cause all your going to do is fail if you don't give it your all.,Always check money to see if their is any problem and budget your money out when your buying materials ,81
3216,12/17/2014 9:36,12/17/2014 9:54,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Black/African-American,It didn't sell too many shares of stock to the venture capitalists,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,3,3,5,5,4,5,4,3,5,3,3,4,4,4,4,i have learned that it is not easy to come to a compromise. i have also learned that sometimes you have to be the leader when someone in your team is slacking off,i learned that it is not easy being the leader because you have all this pressure on you and you can get overwhelmed,make sure you choose the right partners and try to come to compromises when you and your teammate are arguing.,i have learned that you should only spend your money when you absolutely HAVE to,63
3217,12/17/2014 9:40,12/17/2014 9:51,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,5,2,5,5,2,5,5,4,4,5,4,4,3,4,3,4,I have learned that teams are best when it comes to business. Turn for a second and they can leave you by yourself.,I haven't learned anything about leadership. ,To always talk to your group about what they are doing and how they are doing it.,That it is much harder than it seems.,72
3218,12/17/2014 9:45,12/17/2014 9:51,United States,Little Rock,AR,72201,Little Rock,Arkansas,7,,Female,Black/African-American,It sold all it's products,Just repay balance of the loan.,$8 ,Decision-making power for product design.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Profit.,All of the above.,Promote the product to your customers.,All of the above.,,5,3,5,5,5,4,5,5,5,5,4,3,5,5,3,5,i have learned that teamwork can help build a team or a friendship very strongly,leadership is about taking charge and makeing sure what we are working on gets done nicely and quickly,i would say in bizworld you cant be afraid to take charge in some cases and you cant be shy plus you havt to be cofortable working with other students,when managing money you have to pay attention and keep track of how much you earn and lose,27
3219,12/17/2014 10:19,12/17/2014 10:26,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,5,3,5,5,5,4,4,3,5,3,4,5,4,5,"I learned that one can't do everything, and just sometimes have to step back and let others do something.",I learned that you don't have to be in charge to be a leader.,That it is very hectic.,We don't have a very good company.,90
3220,12/17/2014 10:20,12/17/2014 10:28,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,We worked well as a team.,That you should listen to everyone.,"Get ready, its kind of hard.",Check it everyday or it will run away.,100
3221,12/17/2014 10:20,12/17/2014 10:31,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,,5,4,4,5,5,4,5,4,5,5,5,4,5,5,3,5,Without team work there will be problems.,If you are the leader you need to make smart choices and take charge of problems etc.,Pay attention to how much money you have and don't waste it.,Keep the money were you can see it and keep track of how much you spent and how much you gained.,81
3222,12/17/2014 10:20,12/17/2014 10:32,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,5,4,2,4,5,3,4,4,5,2,3,4,3,5,I have learned how to try to solve problems and disagreements. I have also learned some new vocabulary.,"I have learned that leadership is not just in the CEO, but is in VP Sales, VP Marketing, VP Manufacturing, VP Design, and VP Finance.","I would tell them to try to solve problems quickly. I would also tell them to try to work with their team, and even if you think something else, you might just want to ""go with the flow"".",I have learned that managing money is very important in a company.,100
3223,12/17/2014 10:20,12/17/2014 10:45,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,,5,4,5,5,5,4,4,5,4,5,4,4,5,5,4,5,That it is a good thing and if one of your teammates is off task you have to get them back on task.,Leadership is good because if you do something bad your teammates might think it is good and do it also.,That you should be a good leader and teammate to your group.,Do not spend it all on string.,81
3224,12/17/2014 10:21,12/17/2014 10:33,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,2,4,4,2,4,3,3,4,5,4,4,4,3,3,4,that if one person doesn't do their part the business will fail.,"that the leader is top in make decisions, but can still be outvoted",Stay on task,I have learned that you should try to keep your expenses,90
3225,12/17/2014 10:21,12/17/2014 10:31,United States,Little Rock,AR,72201,Little rock,Arkansas,6,,Male,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,All of the above.,,4,3,3,3,4,4,4,3,3,3,4,5,3,3,2,4,Good teamwork is important.,You have to be brave and not be shy to lead a team.,Don't stress out when you don't have enough money because it's not the real deal.,Always keep track of your money or you could lose your money,81
3226,12/17/2014 10:22,12/17/2014 10:35,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$4 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,3,4,5,4,4,4,4,3,5,4,4,4,4,4,4,i learned that you will not always agree on things.,You will always have to take charge wether you want to or not.,To get to know your teamates before starting.,Always be prepared for what you have to pay. ,81
3227,12/17/2014 10:22,12/17/2014 10:36,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,4,4,5,5,4,4,5,4,5,4,4,4,4,5,4,5,That teamwork is really important if you are working in a business.,That is can either go really good or really bad depending on the leader.,That it could get frustrating at times but you have to work through it and even in the end you can make some money.,That you have to spend your money very wisely or everything will go bad.Because you could not have enough to sell and that would be super bad.,72
3228,12/17/2014 10:22,12/17/2014 10:40,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Capital.,Make sure your company has the best commercial.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,5,2,4,5,3,4,4,3,4,4,4,3,3,4,3,3,I really haven't learned anything because i knew about teamwork for a long time and my team was sorta cooperative and sorta not.   ,"I have learned that I am surprisingly good leader because when our CEO went to her YES team, my group basically made me the CEO.  ",Think about what you really want to be and if you even want to be in BizWorld or YES team.,I learned that it is very important to keep track of it and make sure you manage it properly.,45
3229,12/17/2014 10:22,12/17/2014 10:37,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,3,1,2,4,3,4,4,3,2,4,4,3,3,4,2,3,I have learned that you cant do some things without teamwork.,I've leaned that leadership is important.,I would tell them to pay attention to your expenses and write down everything about finance.,I've learned that you can mess up big time if you don't manage your money right  ,100
3230,12/17/2014 10:22,12/17/2014 10:39,United States,Little Rock,AR,72201,Little Rock,Arkansas,6,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,Introduce your customers to your logo and slogan.,Decide how the product will look.,All of the above.,,5,5,5,4,5,5,5,3,5,3,5,5,5,5,3,5,I learned that it can be difficult but you have to work together.,It takes alot of hard work to make sure every thing is in order.,Its very easy/hard as long as you know what to do it can be easy.,It helps alot with the finance stage and comes and handy when you get older but its not that simple.,63
3231,12/17/2014 10:22,12/17/2014 10:36,United States,Little Rock,AR,72201,little rock,Arkansas,6,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,3,4,5,4,4,5,4,4,5,4,3,4,4,3,4,you should always try to work together,take lead,Biz world has it up and downs but if you dont like dealing with bussiness and financing i wouldn't reccomend it ,it's important to always have some ledger of what you made and spent,54
